timestamp,session_id,conn_profile,real_ip,sn,robot_version,menu_choice,action,target,value,side,joint_index,joint_name,step_value,command_value,status,error,left_gripper_est,right_gripper_est,left_arm_estimate,right_arm_estimate,notes,git_branch,git_commit
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.500,right,,,0.050,0.500,success,,0.700,0.500,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.450,right,,,0.050,0.450,success,,0.700,0.450,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.400,right,,,0.050,0.400,success,,0.700,0.400,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:02:59+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.350,right,,,0.050,0.350,success,,0.700,0.350,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:03:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,2,gripper_adjust,right,0.300,right,,,0.050,0.300,success,,0.700,0.300,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",tighten,,
2026-05-15T11:03:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.350,right,,,0.050,0.350,success,,0.700,0.350,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:00+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.400,right,,,0.050,0.400,success,,0.700,0.400,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:01+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.450,right,,,0.050,0.450,success,,0.700,0.450,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:01+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.500,right,,,0.050,0.500,success,,0.700,0.500,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
2026-05-15T11:03:01+08:00,2026-05-15T10:58:36+08:00,real-ip,192.168.1.151,BW_3N5CRT22,3.0,1,gripper_adjust,right,0.550,right,,,0.050,0.550,success,,0.700,0.550,"[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000]","[?, ?, ?, ?, ?, ?, ?]",loosen,,
